timestamp,open,high,low,close,volume
1704067200000,2281.87,2306.6,2271.0,2273.81,35739.3336
1704081600000,2273.8,2287.88,2265.24,2284.67,28107.5133
1704096000000,2284.68,2305.05,2280.0,2304.47,27894.1092
1704110400000,2304.47,2318.34,2294.84,2314.7,32165.8522
1704124800000,2314.69,2340.98,2306.48,2337.26,46802.2526
1704139200000,2337.27,2352.37,2323.66,2352.04,45993.6305
1704153600000,2352.05,2397.56,2346.95,2386.43,99666.5004
1704168000000,2386.42,2392.4,2373.69,2385.84,50541.6586
1704182400000,2385.84,2431.3,2380.09,2391.24,106170.146
1704196800000,2391.24,2404.68,2352.04,2357.48,88164.7305
1704211200000,2357.48,2372.75,2350.19,2369.19,56961.7444
1704225600000,2369.19,2380.0,2341.0,2355.34,56536.8843
1704240000000,2355.35,2384.66,2347.4,2368.51,46709.8425
1704254400000,2368.51,2380.9,2356.99,2361.64,46554.4864
1704268800000,2361.65,2385.45,2294.01,2307.68,108706.848
1704283200000,2307.99,2308.6,2100.0,2240.4,369717.4363
1704297600000,2240.39,2245.33,2188.0,2206.53,152307.7741
1704312000000,2206.54,2227.87,2196.23,2209.72,74733.0996
1704326400000,2209.72,2239.79,2201.91,2231.08,59330.807
1704340800000,2231.07,2244.93,2220.0,2221.85,69021.4307
1704355200000,2221.85,2230.71,2205.0,2228.14,61027.0652
1704369600000,2228.13,2285.99,2222.7,2276.87,113391.0443
1704384000000,2276.88,2294.08,2259.1,2274.27,91424.2633
1704398400000,2274.27,2294.69,2261.57,2267.11,54649.4445
1704412800000,2267.11,2274.76,2212.0,2242.28,76882.3448
1704427200000,2242.29,2265.72,2234.3,2252.75,58488.1076
1704441600000,2252.75,2269.0,2233.23,2241.97,69688.8831
1704456000000,2241.97,2253.64,2218.0,2224.99,87112.2909
1704470400000,2225.0,2240.67,2206.17,2234.26,56104.9998
1704484800000,2234.26,2277.21,2234.18,2268.78,57291.3744
1704499200000,2268.78,2270.0,2250.4,2252.99,29406.1886
1704513600000,2253.0,2255.66,2216.4,2233.12,50658.6262
1704528000000,2233.13,2240.0,2228.58,2238.67,27814.5757
1704542400000,2238.67,2248.32,2228.37,2246.4,41078.7707
1704556800000,2246.41,2254.77,2237.5,2244.63,22234.5726
1704571200000,2244.64,2247.5,2230.62,2240.78,22875.1318
1704585600000,2240.77,2254.03,2235.58,2242.2,27632.6356
1704600000000,2242.19,2251.44,2241.0,2249.15,21360.1339
1704614400000,2249.15,2253.0,2230.26,2237.04,29108.3733
1704628800000,2237.05,2258.01,2222.46,2230.83,49500.438
1704643200000,2230.83,2249.98,2221.0,2248.6,30625.9852
1704657600000,2248.6,2251.27,2203.46,2221.42,48911.1267
1704672000000,2221.42,2224.41,2166.38,2190.87,90216.8028
1704686400000,2190.88,2230.0,2188.0,2224.08,62506.4396
1704700800000,2224.07,2242.0,2204.47,2240.61,56230.0287
1704715200000,2240.61,2283.02,2239.81,2269.59,113126.5618
1704729600000,2269.59,2358.2,2259.39,2354.56,159339.9284
1704744000000,2354.57,2357.79,2325.36,2330.44,57987.7934
1704758400000,2330.43,2336.7,2289.98,2309.13,71375.7143
1704772800000,2309.12,2319.01,2297.26,2306.05,34995.7766
1704787200000,2306.05,2311.3,2285.4,2298.76,45679.4185
1704801600000,2298.77,2304.21,2226.78,2257.18,111002.1449
1704816000000,2257.18,2278.03,2243.41,2270.91,54245.3963
1704830400000,2270.91,2371.72,2247.72,2344.29,234156.5425
1704844800000,2344.3,2400.53,2339.59,2361.51,131181.1198
1704859200000,2361.5,2393.22,2358.0,2368.75,74187.4767
1704873600000,2368.75,2431.0,2362.64,2402.21,135704.7135
1704888000000,2402.21,2456.0,2342.0,2449.3,208501.6899
1704902400000,2449.3,2481.59,2400.71,2477.9,151178.7396
1704916800000,2477.9,2643.1,2411.0,2584.38,337634.9265
1704931200000,2584.37,2614.76,2566.01,2613.01,123879.4331
1704945600000,2613.0,2630.0,2573.01,2589.15,125604.3082
1704960000000,2589.15,2665.74,2586.66,2657.9,107315.6155
1704974400000,2657.89,2689.39,2593.6,2613.19,266549.6639
1704988800000,2613.19,2625.13,2570.0,2622.07,142383.1743
1705003200000,2622.07,2632.28,2587.48,2618.01,72980.0627
1705017600000,2618.01,2624.29,2580.0,2589.81,59022.5645
1705032000000,2589.81,2626.43,2585.62,2595.73,77766.0906
1705046400000,2595.72,2667.99,2584.11,2647.59,117234.1929
1705060800000,2647.58,2717.32,2634.0,2647.02,240727.7862
1705075200000,2647.02,2688.83,2560.71,2584.43,205091.027
1705089600000,2584.44,2598.2,2458.0,2522.54,187616.1015
1705104000000,2522.55,2557.15,2497.5,2548.53,110026.1804
1705118400000,2548.53,2561.68,2539.2,2550.99,48963.4871
1705132800000,2550.99,2560.55,2521.18,2542.5,69772.9872
1705147200000,2542.5,2566.19,2531.15,2563.83,68807.0084
1705161600000,2563.83,2580.0,2550.0,2571.91,85176.9231
1705176000000,2571.91,2590.0,2562.8,2578.19,39314.6458
1705190400000,2578.18,2578.69,2549.72,2550.99,47916.0221
1705204800000,2551.0,2555.88,2541.8,2550.83,50188.6072
1705219200000,2550.84,2553.8,2534.58,2538.0,34210.4543
1705233600000,2538.01,2546.58,2524.39,2537.68,40228.5753
1705248000000,2537.68,2543.97,2500.0,2501.0,51466.1801
1705262400000,2500.99,2531.93,2470.0,2472.87,82197.9073
1705276800000,2472.87,2513.91,2470.92,2503.32,94132.6456
1705291200000,2503.32,2521.0,2502.97,2513.29,31632.2618
1705305600000,2513.29,2542.86,2506.88,2539.35,37060.7093
1705320000000,2539.36,2549.02,2505.8,2514.49,71124.084
1705334400000,2514.49,2553.82,2514.05,2534.7,49430.7011
1705348800000,2534.69,2539.38,2500.33,2511.78,31867.4801
1705363200000,2511.79,2538.23,2505.0,2537.6,38349.9318
1705377600000,2537.6,2542.14,2522.3,2528.26,35810.3588
1705392000000,2528.25,2549.38,2521.98,2530.77,53355.1576
1705406400000,2530.78,2570.79,2500.05,2559.44,109503.6633
1705420800000,2559.44,2579.62,2548.63,2574.06,70677.2296
1705435200000,2574.06,2614.43,2571.79,2587.4,73381.2836
1705449600000,2587.41,2592.97,2571.17,2571.43,48038.2175
1705464000000,2571.43,2575.57,2551.81,2552.52,45563.8461
1705478400000,2552.53,2554.06,2534.4,2542.85,54881.3893
1705492800000,2542.86,2574.75,2532.67,2539.46,108148.7638
1705507200000,2539.47,2544.75,2517.22,2533.29,63038.6412
1705521600000,2533.29,2544.81,2506.75,2530.19,46610.4898
1705536000000,2530.2,2533.44,2510.03,2529.94,43878.1518
1705550400000,2529.95,2540.69,2524.72,2538.99,55578.4053
1705564800000,2538.99,2550.0,2514.04,2522.41,71641.1117
1705579200000,2522.42,2535.27,2503.77,2525.64,58661.4467
1705593600000,2525.65,2526.15,2430.0,2439.5,147653.6733
1705608000000,2439.5,2472.86,2428.56,2470.81,74677.3186
1705622400000,2470.81,2474.59,2443.13,2460.4,56987.9341
1705636800000,2460.4,2474.82,2456.63,2465.51,39586.0535
1705651200000,2465.5,2496.62,2460.44,2488.97,49510.6618
1705665600000,2488.98,2499.87,2460.37,2462.98,75418.5116
1705680000000,2462.98,2504.0,2415.2,2493.37,160809.6453
1705694400000,2493.37,2504.2,2481.0,2492.0,41896.1966
1705708800000,2491.99,2492.0,2475.0,2481.22,27693.8609
1705723200000,2481.22,2486.27,2475.29,2478.47,17455.254
1705737600000,2478.48,2480.07,2463.31,2470.59,26271.5669
1705752000000,2470.58,2475.91,2458.33,2463.83,24490.7953
1705766400000,2463.83,2467.81,2454.2,2461.52,20922.7838
1705780800000,2461.52,2474.88,2460.2,2472.01,19786.6968
