timestamp,open,high,low,close,volume
1712217600000,66091.59,66435.02,66028.0,66220.01,1001.80238
1712221200000,66220.02,66406.55,66172.0,66273.37,707.28432
1712224800000,66273.38,66468.99,66141.27,66278.62,833.255
1712228400000,66278.61,66431.34,66108.85,66353.67,886.30026
1712232000000,66353.68,66816.66,66330.56,66709.0,2110.78859
1712235600000,66709.0,67500.0,66690.0,67242.15,3459.83249
1712239200000,67242.14,67927.69,67075.7,67691.97,3384.05973
1712242800000,67691.98,67808.0,67428.57,67647.99,1840.61889
1712246400000,67648.0,68188.0,67526.5,67807.64,2087.67665
1712250000000,67807.65,68896.1,67721.41,68849.18,2272.37867
1712253600000,68849.18,69309.91,68510.63,68593.5,4368.6816
1712257200000,68593.5,69086.23,68334.24,68500.0,2553.96967
1712260800000,68500.0,68551.99,67320.0,67931.26,3868.35856
1712264400000,67931.26,68148.69,67495.0,67787.9,1401.80098
1712268000000,67787.91,68051.94,67604.93,67937.05,737.03732
1712271600000,67937.06,68565.54,67889.2,68487.79,1487.18784
1712275200000,68487.8,68756.67,68166.66,68606.0,1175.08722
1712278800000,68606.01,68615.58,67760.93,68160.0,1670.1897
1712282400000,68160.0,68161.82,67435.67,67600.0,1715.61727
1712286000000,67599.99,68033.33,67570.0,67863.99,1213.46103
1712289600000,67864.0,68028.0,67450.01,67647.99,1133.66513
1712293200000,67648.0,67750.99,66380.0,66888.04,2488.49304
1712296800000,66888.03,67179.56,66770.86,67140.56,1020.72921
1712300400000,67140.56,67144.55,66832.5,66930.74,1015.3219
1712304000000,66930.75,67684.26,66917.74,67151.21,1465.32326
1712307600000,67151.2,67151.21,66383.01,66805.98,1896.92624
1712311200000,66805.99,67213.84,66708.01,67034.65,1184.71947
1712314800000,67034.66,67087.98,66388.0,66478.0,1373.76533
1712318400000,66478.0,66888.0,65952.56,66883.99,3678.85999
1712322000000,66883.99,67589.61,66524.18,67500.0,2645.03909
1712325600000,67500.01,68566.66,67314.11,68139.39,3816.29678
1712329200000,68139.39,68268.14,67628.2,68190.62,1640.95515
1712332800000,68190.62,68380.0,67680.0,67953.8,1475.64352
1712336400000,67953.79,67986.83,67358.93,67442.49,1069.21575
1712340000000,67442.49,67729.54,67316.0,67629.02,1385.22601
1712343600000,67629.01,68096.0,67382.6,67412.4,2134.09921
1712347200000,67412.41,67758.04,67342.0,67643.48,913.59767
1712350800000,67643.48,67838.07,67515.44,67515.45,657.73746
1712354400000,67515.44,67843.55,67503.31,67628.53,582.37176
1712358000000,67628.53,67966.67,67628.52,67820.62,562.88954
1712361600000,67820.63,68065.2,67686.23,67900.57,864.08882
1712365200000,67900.56,67977.73,67643.47,67689.99,752.97272
1712368800000,67689.99,67765.77,67447.83,67574.59,1037.00772
1712372400000,67574.6,67882.5,67574.59,67788.01,522.70715
1712376000000,67788.0,67819.13,67602.0,67735.84,571.42809
1712379600000,67735.84,68232.14,67720.17,68038.74,1113.53981
1712383200000,68038.75,68162.9,67845.2,68109.42,581.55984
1712386800000,68109.43,68189.33,67940.54,67992.02,803.90434
1712390400000,67992.02,68106.88,67859.53,68012.14,775.39042
1712394000000,68012.15,68120.0,67747.86,67792.0,856.29225
1712397600000,67792.0,67886.37,67714.72,67842.17,503.36071
1712401200000,67842.18,67904.35,67615.22,67668.16,507.81819
1712404800000,67668.16,67796.69,67582.3,67738.37,768.1939
1712408400000,67738.36,67745.13,67527.78,67699.99,679.92389
1712412000000,67700.0,68109.13,67684.0,67993.99,890.76678
1712415600000,67994.0,68299.0,67896.48,68104.0,1229.38347
1712419200000,68104.01,68174.0,67948.83,68143.48,592.98858
1712422800000,68143.48,68484.09,68039.94,68287.3,819.79599
1712426400000,68287.3,68379.82,68163.62,68307.28,456.49398
1712430000000,68307.28,68415.0,68218.0,68259.98,493.84003
1712433600000,68259.99,68395.0,68166.66,68390.0,437.40109
1712437200000,68390.0,68434.88,68298.82,68299.65,565.49843
1712440800000,68299.65,69101.0,68286.33,69056.0,1866.64982
1712444400000,69056.0,69692.0,68800.0,68896.0,2443.28317
1712448000000,68896.0,69150.0,68824.0,68999.99,711.73347
1712451600000,68999.99,69655.16,68998.57,69541.65,1393.28874
1712455200000,69541.65,69777.0,69300.0,69300.0,1170.74387
1712458800000,69300.01,69510.0,69250.0,69408.05,794.54542
1712462400000,69408.04,69493.98,69053.97,69304.44,765.60294
1712466000000,69304.44,69464.0,69267.07,69397.76,471.13373
1712469600000,69397.76,69414.87,69110.81,69244.09,570.3876
1712473200000,69244.08,69482.44,69213.84,69364.01,699.71269
1712476800000,69364.0,69555.0,69333.72,69479.99,790.46725
1712480400000,69479.99,69493.25,69199.01,69289.99,682.01068
1712484000000,69290.0,69495.15,69236.0,69328.14,479.75183
1712487600000,69328.14,69407.72,69200.0,69357.0,456.74728
1712491200000,69357.0,69415.59,69210.0,69335.99,537.54178
1712494800000,69336.0,69550.0,69285.71,69349.93,672.01675
1712498400000,69349.93,69664.67,69220.0,69578.44,900.17727
1712502000000,69578.44,69886.03,69360.44,69543.74,1399.12074
1712505600000,69543.73,70326.29,69483.9,70074.0,2841.73986
1712509200000,70074.01,70112.0,69658.19,69798.01,1069.84594
1712512800000,69798.02,69828.0,69234.14,69390.01,1027.88794
1712516400000,69390.01,69508.71,68849.77,69068.01,1426.15758
1712520000000,69068.01,69403.7,68960.01,69309.69,604.64834
1712523600000,69309.7,69413.1,69031.29,69031.3,483.16273
1712527200000,69031.3,69344.4,68901.0,69200.0,699.97793
1712530800000,69200.0,69477.18,69188.05,69360.39,886.34197
1712534400000,69360.38,69432.0,69043.24,69325.99,711.34576
1712538000000,69326.0,69841.03,69285.7,69437.02,927.5685
1712541600000,69437.03,69437.03,69126.36,69228.0,627.63335
1712545200000,69228.0,69500.0,69134.99,69458.95,517.01586
1712548800000,69458.95,69500.0,69280.0,69382.0,358.18285
1712552400000,69382.01,69801.0,69382.0,69701.99,644.21026
1712556000000,69702.0,69818.04,69632.73,69790.29,689.06081
1712559600000,69790.29,70850.0,69790.28,70698.63,4052.43625
1712563200000,70698.64,72111.99,70642.0,71968.0,6618.95587
1712566800000,71968.0,72650.0,71650.32,72197.25,5364.63217
1712570400000,72197.26,72374.0,71792.06,72323.98,2864.5742
1712574000000,72323.99,72647.86,72218.27,72404.0,2735.3903
1712577600000,72404.0,72797.99,72137.48,72180.02,3473.2137
1712581200000,72180.01,72310.01,71691.35,71944.31,2849.00307
1712584800000,71944.31,71985.38,71245.17,71726.0,3300.86317
1712588400000,71725.99,71987.0,71598.45,71773.98,1771.16688
1712592000000,71773.98,72021.56,71556.53,71740.1,1315.49299
1712595600000,71740.1,71800.0,71300.0,71699.23,1275.99193
1712599200000,71699.23,72104.05,71672.34,71908.61,1082.45857
1712602800000,71908.6,71973.6,71564.51,71766.0,1535.56493
1712606400000,71766.0,71818.77,71500.37,71711.99,999.79853
1712610000000,71711.98,71900.0,71628.01,71692.01,660.04808
1712613600000,71692.01,71960.0,71599.9,71916.09,641.99085
1712617200000,71916.08,72000.0,71610.01,71620.0,707.27736
1712620800000,71620.0,71758.19,71320.01,71419.99,956.13499
1712624400000,71420.0,71439.8,70833.33,71275.46,1696.79955
1712628000000,71275.45,71618.95,71156.77,71477.44,784.59893
1712631600000,71477.44,71641.97,71186.02,71285.0,854.25669
1712635200000,71285.0,71339.79,70917.2,71208.01,982.08185
1712638800000,71208.02,71323.66,70957.0,71056.0,803.13804
1712642400000,71055.99,71265.47,70560.0,70765.69,1708.51726
1712646000000,70765.7,70940.9,70110.0,70383.99,2696.6219
1712649600000,70383.98,70600.0,69576.61,70500.01,3161.35314
1712653200000,70500.01,70860.65,70256.98,70392.18,1396.11493
1712656800000,70392.18,70697.04,70234.99,70566.64,1251.14011
1712660400000,70566.63,70905.26,70566.63,70794.85,1164.05878
1712664000000,70794.84,70977.0,70654.38,70690.0,1369.09848
1712667600000,70690.0,70920.0,69921.62,69928.0,2320.93526
1712671200000,69928.0,70429.04,68611.0,69358.32,5575.38122
1712674800000,69358.32,69360.0,68535.03,69264.0,2890.83319
1712678400000,69264.0,69320.0,68516.15,68601.24,2409.92797
1712682000000,68601.25,68962.43,68210.0,68823.99,2349.39623
1712685600000,68823.99,69025.89,68769.79,68879.23,844.48608
1712689200000,68879.22,69174.0,68656.08,69000.77,1039.09661
1712692800000,69000.78,69208.2,68962.31,69171.19,793.03996
1712696400000,69171.18,69250.0,68935.64,69213.83,662.49907
1712700000000,69213.83,69439.6,69144.59,69325.65,648.41501
1712703600000,69325.64,69332.0,68888.47,69146.0,935.97717
1712707200000,69146.0,69304.26,69025.97,69138.81,715.56915
1712710800000,69138.81,69269.76,68603.92,69269.75,1275.36787
1712714400000,69269.75,69594.15,68466.63,68651.98,1636.05293
1712718000000,68651.98,69180.0,68625.61,69150.18,913.59608
1712721600000,69150.18,69199.99,69005.55,69134.33,664.06061
1712725200000,69134.34,69414.2,69121.35,69255.82,860.44791
1712728800000,69255.82,69479.8,69227.62,69369.25,548.02237
1712732400000,69369.25,69515.0,69268.47,69336.28,570.97164
1712736000000,69336.27,69336.28,68800.0,69011.92,1650.45776
1712739600000,69011.92,69171.75,68902.43,69139.2,642.38466
1712743200000,69139.19,69180.0,68629.99,68932.01,1609.82407
1712746800000,68932.01,69132.61,68853.83,69043.0,906.73349
1712750400000,69043.0,69204.28,67559.99,67976.0,5516.60171
1712754000000,67975.99,68313.1,67518.0,68259.77,3072.05611
1712757600000,68259.77,68974.58,68009.94,68703.05,3478.03076
1712761200000,68703.04,68760.71,68264.0,68657.32,1682.31921
1712764800000,68657.31,69536.0,68556.0,69500.0,3187.5887
1712768400000,69499.99,69910.96,69142.81,69350.11,2312.62275
1712772000000,69350.1,69411.34,69071.0,69314.33,1412.90652
1712775600000,69314.33,70098.89,69219.14,70083.99,2385.51575
1712779200000,70084.0,70136.0,69740.0,69812.01,1217.11763
1712782800000,69812.01,70036.81,69581.03,70017.0,1101.47126
1712786400000,70017.01,71172.08,70017.0,70528.0,3828.1323
1712790000000,70528.0,70799.99,70488.38,70631.08,818.17253
1712793600000,70631.08,70663.21,70285.13,70520.01,1005.36439
1712797200000,70520.0,70760.0,70469.12,70553.28,1032.83936
1712800800000,70553.28,71062.0,70500.0,70995.66,1289.73952
1712804400000,70995.66,71027.99,70773.58,70851.67,685.78169
1712808000000,70851.66,70888.35,70378.11,70604.01,885.62645
1712811600000,70604.01,70680.0,70444.0,70583.99,564.78247
1712815200000,70583.99,70848.76,70564.0,70717.82,790.52112
1712818800000,70717.81,71305.89,70717.81,70735.99,1536.14398
1712822400000,70736.0,71256.27,70617.25,71039.39,1438.7784
1712826000000,71039.4,71053.61,70596.43,70604.0,1062.48344
1712829600000,70604.0,70785.05,70421.56,70459.99,930.42306
1712833200000,70460.0,70596.0,69881.31,69983.16,1719.91629
1712836800000,69983.16,71100.0,69867.76,70858.83,3246.16925
1712840400000,70858.82,70988.0,69669.75,70284.0,3997.21616
1712844000000,70284.01,70350.01,69584.0,69600.54,2570.16521
1712847600000,69600.55,70026.25,69567.21,70000.0,1533.57964
1712851200000,70000.0,70133.17,69574.88,70011.99,1332.97941
1712854800000,70011.99,70446.03,70000.0,70203.99,1215.82138
1712858400000,70203.99,70429.32,69951.18,70099.75,897.90056
1712862000000,70099.75,70529.73,70008.0,70459.67,1127.66947
1712865600000,70459.67,70746.09,70383.8,70499.62,1202.781
1712869200000,70499.63,70504.99,70000.0,70115.41,814.56488
1712872800000,70115.41,70259.46,70033.52,70151.26,515.91319
1712876400000,70151.26,70196.0,69804.87,70006.23,520.09563
1712880000000,70006.22,70336.38,70002.22,70301.63,766.09927
1712883600000,70301.63,70367.29,70113.6,70280.01,420.86936
1712887200000,70280.01,70775.0,70208.73,70635.93,854.84856
1712890800000,70635.92,70996.91,70635.92,70977.27,2503.35674
1712894400000,70977.27,71227.46,70812.56,71115.99,981.71837
1712898000000,71116.0,71175.99,70887.72,70956.32,713.78496
1712901600000,70956.32,71012.0,70713.7,70871.05,643.62163
1712905200000,70871.04,70967.92,70566.02,70764.01,1348.37882
1712908800000,70764.0,70893.58,70582.52,70759.99,1004.79268
1712912400000,70759.99,70863.51,70509.58,70652.0,1217.79727
1712916000000,70652.0,70868.0,70601.23,70786.4,811.43225
1712919600000,70786.41,70972.0,70760.01,70904.01,894.03242
1712923200000,70904.0,70975.54,70323.96,70534.24,1640.42822
1712926800000,70534.23,70534.24,69631.06,69888.0,2931.86107
1712930400000,69888.0,70090.55,69236.95,69270.01,3664.55336
1712934000000,69270.02,69718.35,69248.33,69347.3,2431.83907
1712937600000,69347.3,69580.0,68679.61,68840.54,3977.93424
1712941200000,68840.54,68960.0,67444.0,68140.02,6511.3787
1712944800000,68140.01,68383.63,65086.86,66492.0,10945.8346
1712948400000,66492.0,67335.22,66329.19,66843.98,4771.42177
1712952000000,66843.98,67440.0,66700.0,67120.0,2773.54975
1712955600000,67119.99,67128.64,66680.84,66960.01,1632.06929
1712959200000,66960.0,67270.53,66828.01,67053.33,1301.73596
1712962800000,67053.33,67230.19,66812.0,67116.52,1329.52393
1712966400000,67116.52,67142.86,66737.64,66913.27,1313.3712
1712970000000,66913.27,66928.0,65731.27,65886.63,3105.40601
1712973600000,65886.64,66593.41,65871.49,66535.99,1855.81733
1712977200000,66536.0,67168.0,66483.87,67160.55,1472.46102
1712980800000,67160.55,67929.0,67012.67,67587.62,2173.96631
1712984400000,67587.63,67907.84,67300.3,67345.48,1872.75397
1712988000000,67345.48,67511.0,67258.63,67476.02,841.42651
1712991600000,67476.01,67563.66,67120.87,67446.52,988.19621
1712995200000,67446.53,67455.0,67090.83,67176.0,948.41034
1712998800000,67175.99,67475.0,67136.14,67393.85,839.66965
1713002400000,67393.84,67480.2,67311.77,67428.25,614.53458
1713006000000,67428.25,67825.91,67302.93,67360.0,973.5364
1713009600000,67360.01,67679.99,67169.97,67514.69,883.82838
1713013200000,67514.7,67774.2,67450.54,67552.03,798.83221
1713016800000,67552.02,67720.0,67369.67,67559.56,747.94807
1713020400000,67559.57,67926.0,67437.8,67676.0,1023.558
1713024000000,67675.99,67752.85,67224.0,67432.37,1247.3985
1713027600000,67432.38,67437.56,66500.0,66730.87,2962.16593
1713031200000,66730.86,67243.47,66444.0,67156.27,2158.3178
1713034800000,67156.27,67241.55,63750.01,64788.01,5809.08901
1713038400000,64788.01,64853.9,60660.57,61816.02,20264.97307
1713042000000,61816.01,62959.48,61693.0,62928.01,6673.69922
1713045600000,62928.0,64615.38,62118.56,64293.46,6041.25271
1713049200000,64293.47,65608.09,63651.15,63924.51,5784.60776
1713052800000,63924.52,64303.87,62888.0,63672.18,4986.76877
1713056400000,63672.19,64085.7,63248.7,63743.11,2711.46781
1713060000000,63743.1,63953.75,63016.23,63084.18,2450.4911
1713063600000,63084.18,63576.36,62134.0,63437.55,4287.15479
1713067200000,63437.55,64176.46,63394.0,63956.99,2850.24367
1713070800000,63957.0,64466.0,63921.0,64383.99,2309.98164
1713074400000,64384.0,64872.96,64107.09,64649.96,2456.01877
1713078000000,64649.97,64837.07,64243.65,64464.3,2051.12833
1713081600000,64464.3,64887.99,64372.04,64530.67,1836.48316
1713085200000,64530.67,64721.65,63908.31,64134.19,2179.75735
1713088800000,64134.18,64659.8,64134.18,64457.23,1408.27273
1713092400000,64457.23,64591.44,63855.45,64166.05,1918.4099
1713096000000,64166.05,64848.49,64069.79,64525.25,1927.78743
1713099600000,64525.25,64845.37,64346.0,64373.42,1690.70103
1713103200000,64373.43,64400.0,63437.55,63918.01,5366.69865
1713106800000,63918.02,64475.37,63900.0,64180.97,1593.4649
1713110400000,64180.98,64747.25,64126.03,64412.37,1458.37622
1713114000000,64412.38,64580.01,62573.66,63868.58,5806.56587
1713117600000,63868.57,64695.4,63757.0,64397.67,2000.5041
1713121200000,64397.67,64474.23,63940.3,64168.62,1173.81682
1713124800000,64168.62,64350.0,63699.2,63842.36,1314.47247
1713128400000,63842.35,63848.49,63326.42,63682.15,1243.3483
1713132000000,63682.15,65463.56,63641.79,65330.3,4193.38241
1713135600000,65330.29,65840.0,65057.01,65661.84,2383.88196
1713139200000,65661.85,65867.45,65283.11,65485.23,2438.29742
1713142800000,65485.22,65706.53,65042.98,65275.62,1498.85105
1713146400000,65275.63,65361.47,64937.01,65129.74,1415.78066
1713150000000,65129.73,65323.77,65030.88,65138.19,868.20744
1713153600000,65138.2,65170.22,64683.01,64906.14,1243.69851
1713157200000,64906.13,65512.2,64903.6,65466.74,1223.27993
1713160800000,65466.73,66558.78,65355.45,66463.63,3993.62884
1713164400000,66463.63,66582.84,66151.41,66263.84,2429.09898
1713168000000,66263.84,66457.88,66064.48,66287.21,1624.73611
1713171600000,66287.22,66867.07,66119.12,66578.39,2117.72983
1713175200000,66578.39,66646.18,66378.03,66465.56,1177.63858
1713178800000,66465.57,66720.64,65807.25,65860.12,1675.54342
1713182400000,65860.12,66243.12,65797.73,66028.17,1298.08339
1713186000000,66028.17,66399.0,65684.65,65865.77,1931.80935
1713189600000,65865.78,65977.0,64183.99,64235.24,4647.76108
1713193200000,64235.25,64792.88,63810.0,64568.81,4020.12521
1713196800000,64568.8,64868.28,63892.88,64148.61,2858.50528
1713200400000,64148.61,64745.2,63310.99,63908.48,3464.22244
1713204000000,63908.48,64060.34,63111.0,63170.87,2962.24244
1713207600000,63170.86,63632.5,62274.4,63301.11,3914.2931
1713211200000,63301.11,63633.02,62942.82,63112.96,1584.37768
1713214800000,63112.96,63474.55,62632.0,63262.94,1529.66816
1713218400000,63262.94,63527.31,62700.0,63459.98,1505.5696
1713222000000,63459.98,63558.0,63179.21,63419.99,966.38219
1713225600000,63419.99,63719.98,62933.33,63254.74,1479.35259
1713229200000,63254.74,63899.69,63089.0,63147.5,1456.15878
1713232800000,63147.5,63500.0,62750.0,63401.55,1641.76074
1713236400000,63401.56,63554.99,62799.32,62956.0,2202.78617
1713240000000,62956.0,63029.13,61680.0,62487.0,5234.71526
1713243600000,62487.0,62888.0,62366.44,62700.41,2051.35297
1713247200000,62700.41,63254.88,62636.73,63195.12,1437.52969
1713250800000,63195.13,63800.0,63104.4,63516.19,2170.11387
1713254400000,63516.18,63660.0,63077.02,63288.48,1439.41716
1713258000000,63288.48,63578.34,63198.67,63242.19,1075.71914
1713261600000,63242.18,63340.66,61600.0,62559.23,4936.56633
1713265200000,62559.22,63269.95,62366.44,63094.77,2109.01644
1713268800000,63094.76,63422.97,62811.87,63047.89,1660.66437
1713272400000,63047.88,63342.52,62136.28,62692.41,3781.34816
1713276000000,62692.41,63100.0,62020.01,62092.13,3037.24232
1713279600000,62092.12,62415.0,61735.42,61762.2,2896.47019
1713283200000,61762.19,62730.9,61694.02,62730.9,3015.83364
1713286800000,62730.89,63280.75,62282.01,62490.36,3249.92371
1713290400000,62490.37,63041.85,62427.24,63003.92,2239.268
1713294000000,63003.93,63094.8,62648.26,62721.43,1434.35244
1713297600000,62721.43,63050.0,62555.0,63019.72,837.75286
1713301200000,63019.73,64365.0,62973.83,64007.12,2427.3989
1713304800000,64007.11,64080.0,63613.71,63782.57,973.60883
1713308400000,63782.56,63876.64,63623.32,63793.39,646.94075
1713312000000,63793.4,64239.67,63581.16,64022.59,1510.48144
1713315600000,64022.6,64048.79,63615.0,64017.64,878.04151
1713319200000,64017.64,64295.0,63694.28,63840.08,1415.68284
1713322800000,63840.09,64067.41,63733.92,63842.02,603.89544
1713326400000,63842.03,64247.55,63672.26,64101.11,926.51971
1713330000000,64101.11,64499.0,63827.72,63928.01,1262.9067
1713333600000,63928.01,64000.0,63735.2,63880.92,1050.0347
1713337200000,63880.92,63935.56,63181.81,63297.84,1531.38708
1713340800000,63297.85,63587.88,63150.1,63325.75,1064.70584
1713344400000,63325.76,63539.99,63227.82,63320.16,849.872
1713348000000,63320.16,63338.72,62752.31,62898.04,1568.92655
1713351600000,62898.05,63163.11,62541.13,62595.04,1045.35291
1713355200000,62595.04,62836.12,62061.44,62317.75,1955.59972
1713358800000,62317.76,62974.88,62128.99,62635.88,2169.72142
1713362400000,62635.88,62657.55,60741.0,61279.66,7363.21411
1713366000000,61279.65,61538.35,59888.0,60304.95,8213.02743
1713369600000,60304.95,61100.0,59678.16,60194.95,5775.48183
1713373200000,60194.96,61365.98,60119.11,61275.37,2521.30182
1713376800000,61275.36,61956.42,61159.42,61445.57,2900.78693
1713380400000,61445.57,61473.94,60727.38,61022.35,1892.75293
1713384000000,61022.36,61457.58,60777.0,60846.79,1207.41039
1713387600000,60846.79,61660.05,60846.78,61300.92,1247.74132
1713391200000,61300.93,61719.29,61160.34,61689.94,890.0054
1713394800000,61689.95,61763.07,61194.93,61277.37,765.69507
1713398400000,61277.38,61525.91,60939.92,61514.69,1644.39366
1713402000000,61514.68,61666.0,61382.92,61639.26,1116.89931
1713405600000,61639.26,61920.0,61457.73,61666.43,803.74729
1713409200000,61666.42,62229.9,61666.42,61988.0,1547.01736
1713412800000,61987.99,62075.46,61556.47,61640.06,1131.09467
1713416400000,61640.06,61814.61,60992.0,61072.02,1529.98166
1713420000000,61072.02,61320.0,60803.35,61147.83,1647.34058
1713423600000,61147.82,61362.32,60941.17,61178.08,1081.19943
1713427200000,61178.08,61550.0,60864.0,61335.99,1705.42064
1713430800000,61335.99,61710.14,61320.34,61636.5,1177.79368
1713434400000,61636.51,61925.63,61500.0,61821.75,1372.4095
1713438000000,61821.76,63072.27,61821.75,62597.92,4598.41039
1713441600000,62597.92,62730.18,61580.71,62232.96,2164.68216
1713445200000,62232.96,62833.34,61896.9,62810.0,2627.1574
1713448800000,62810.01,63970.81,62564.91,63816.57,5379.92656
1713452400000,63816.56,64117.09,63427.47,63498.7,3007.48045
1713456000000,63498.69,63866.19,63282.48,63536.72,1849.59978
1713459600000,63536.71,63624.38,62628.6,62782.75,1861.52928
1713463200000,62782.74,63219.0,62310.03,63104.68,1933.35652
1713466800000,63104.67,63576.0,63095.5,63477.04,1739.03734
1713470400000,63477.04,63637.5,63272.0,63490.98,1263.8023
1713474000000,63490.99,63825.74,63313.02,63473.28,908.15089
1713477600000,63473.27,63651.66,63162.77,63499.73,935.70951
1713481200000,63499.73,63665.5,63376.0,63470.08,575.46882
1713484800000,63470.09,63470.09,62654.56,62711.08,1323.61979
1713488400000,62711.08,62776.0,60618.97,61022.0,6396.68503
1713492000000,61021.99,61390.0,59600.01,61359.58,7291.88881
1713495600000,61359.57,62108.34,61140.0,61785.14,3912.2727
1713499200000,61785.14,62800.07,61766.79,62439.49,3215.61184
1713502800000,62439.49,62589.12,61739.68,62073.38,2031.0964
1713506400000,62073.39,64953.85,61809.93,64624.37,6553.23322
1713510000000,64624.37,65179.0,64184.61,64547.18,4500.56274
