timestamp,open,high,low,close,volume
1735689600000,93576.0,94509.42,93489.03,94401.14,755.9901
1735693200000,94401.13,94408.72,93578.77,93607.74,586.53456
1735696800000,93607.74,94105.12,93594.56,94098.91,276.78045
1735700400000,94098.9,94098.91,93728.22,93838.04,220.99302
1735704000000,93838.04,93838.04,93500.0,93553.91,279.46909
1735707600000,93553.91,93937.19,93547.4,93792.02,209.1794
1735711200000,93792.02,93792.02,93568.38,93757.58,272.27846
1735714800000,93757.57,93800.0,93664.08,93684.1,197.93458
1735718400000,93684.11,93756.02,93304.0,93428.46,481.71173
1735722000000,93428.47,93486.29,92888.0,93413.06,798.49773
1735725600000,93413.07,93536.75,93284.0,93326.23,265.55192
1735729200000,93326.24,93705.08,93200.0,93444.64,321.72225
1735732800000,93444.65,93972.0,93407.07,93820.76,499.35613
1735736400000,93820.75,94058.79,93600.28,94031.76,340.36387
1735740000000,94031.77,94450.85,93671.48,94175.89,751.90697
1735743600000,94175.89,94500.0,93900.0,94432.94,486.08395
1735747200000,94432.94,94492.0,93922.0,94090.49,580.27384
1735750800000,94090.5,94189.16,93760.93,94143.85,303.86795
1735754400000,94143.84,94380.44,93936.44,94340.06,291.78831
1735758000000,94340.06,94823.75,94148.34,94627.07,545.12372
1735761600000,94627.08,94852.7,94579.83,94786.23,424.42468
1735765200000,94786.23,95151.15,94687.87,94978.48,636.81156
1735768800000,94978.48,94997.32,94685.81,94802.98,409.77402
1735772400000,94802.99,94952.29,94542.0,94591.79,436.90784
1735776000000,94591.78,95381.7,94392.0,95128.59,1181.76573
1735779600000,95128.59,95516.0,94699.69,94862.72,1143.36617
1735783200000,94862.73,95234.37,94803.03,95234.36,455.65
1735786800000,95234.37,95299.24,94913.75,95010.33,290.28586
1735790400000,95010.34,96000.0,94984.84,95708.07,925.61919
1735794000000,95708.07,95800.0,95395.21,95596.48,702.11721
1735797600000,95596.48,95697.01,95380.04,95574.99,517.46772
1735801200000,95575.0,95880.0,95505.35,95822.0,452.62773
1735804800000,95822.01,96211.54,95640.05,96150.0,844.76163
1735808400000,96150.0,96799.86,96036.86,96755.51,976.02528
1735812000000,96755.51,96808.37,96538.77,96708.0,826.74686
1735815600000,96708.0,96876.38,96469.46,96732.99,533.66374
1735819200000,96733.0,96895.0,96609.42,96850.01,677.3051
1735822800000,96850.01,96988.05,96436.0,96458.17,903.27447
1735826400000,96458.17,97440.91,95924.6,97256.49,3007.10456
1735830000000,97256.48,97323.16,96164.78,96455.01,2007.047
1735833600000,96455.01,97650.0,96040.04,97229.74,1725.0299
1735837200000,97229.75,97591.84,96325.44,96757.57,1272.75775
1735840800000,96757.57,97350.0,96400.0,97319.74,839.9046
1735844400000,97319.74,97777.0,97200.0,97317.74,714.40965
1735848000000,97317.74,97839.5,97300.0,97306.46,718.8468
1735851600000,97306.46,97355.77,97040.16,97212.68,394.14727
1735855200000,97212.69,97212.69,96666.66,96911.04,418.78092
1735858800000,96911.04,97077.78,96758.17,96984.79,441.78434
1735862400000,96984.79,97080.96,96796.56,96825.82,315.00973
1735866000000,96825.83,97000.0,96650.0,96985.47,342.35914
1735869600000,96985.47,97342.44,96856.98,96966.85,388.64008
1735873200000,96966.85,97090.91,96833.99,97062.3,255.7492
1735876800000,97062.3,97066.18,96766.51,96813.41,265.52213
1735880400000,96813.49,96860.48,96590.28,96765.34,316.46331
1735884000000,96765.35,96918.56,96512.0,96539.49,382.40263
1735887600000,96539.49,96645.83,96280.65,96304.0,546.86929
1735891200000,96304.0,96529.84,96100.01,96129.97,543.39121
1735894800000,96129.97,96702.48,96107.84,96554.32,527.99485
1735898400000,96554.32,96640.01,96402.82,96488.53,355.37669
1735902000000,96488.53,96830.0,96482.51,96757.58,448.41508
1735905600000,96757.57,96921.36,96666.66,96666.66,387.5824
1735909200000,96666.66,96839.71,96472.43,96504.79,630.80373
1735912800000,96504.8,97342.44,96504.79,97016.01,1390.59074
1735916400000,97016.0,97660.0,96759.12,97521.35,1587.60159
1735920000000,97521.36,98444.42,97406.54,97868.2,1899.91498
1735923600000,97868.21,98299.76,97837.63,98026.0,799.71144
1735927200000,98025.99,98697.86,98000.0,98527.98,813.64324
1735930800000,98527.97,98976.91,98491.53,98592.01,1070.42711
1735934400000,98592.02,98748.0,98300.0,98311.52,846.16971
1735938000000,98311.51,98419.14,98196.96,98272.7,507.38037
1735941600000,98272.7,98512.94,98250.0,98296.37,317.54844
1735945200000,98296.37,98382.19,98067.99,98174.18,314.26227
1735948800000,98174.17,98288.0,97887.2,97950.01,465.14321
1735952400000,97950.01,98095.06,97800.0,98040.0,292.09859
1735956000000,98040.0,98314.15,97848.48,98304.51,368.90158
1735959600000,98304.51,98304.51,98052.97,98200.0,274.6885
1735963200000,98200.01,98200.01,97862.87,98001.0,304.49957
1735966800000,98001.0,98196.51,97988.76,98126.21,249.97787
1735970400000,98126.21,98209.7,98039.91,98127.54,211.92338
1735974000000,98127.53,98350.04,98095.17,98271.88,454.46141
1735977600000,98271.87,98306.22,97905.26,97906.07,303.67578
1735981200000,97906.08,97980.0,97532.58,97690.37,671.7915
1735984800000,97690.37,97859.6,97600.0,97789.32,330.6856
1735988400000,97789.32,97923.07,97711.54,97889.39,279.11118
1735992000000,97889.4,98016.97,97800.0,97888.12,336.79692
1735995600000,97888.12,98068.46,97750.0,97973.05,463.20054
1735999200000,97973.05,98080.15,97828.38,98035.04,329.4416
1736002800000,98035.05,98152.02,97514.79,97657.94,737.78425
1736006400000,97657.95,97874.68,97549.99,97704.6,575.11901
1736010000000,97704.6,98049.99,97687.77,98016.26,251.44705
1736013600000,98016.26,98139.13,97909.85,97961.56,237.21797
1736017200000,97961.56,98350.0,97931.23,98166.26,330.48168
1736020800000,98166.26,98671.02,98166.25,98599.02,441.69473
1736024400000,98599.02,98778.43,98344.0,98362.43,536.3759
1736028000000,98362.43,98484.85,98265.91,98417.25,289.70747
1736031600000,98417.25,98419.14,98143.2,98220.5,253.83122
1736035200000,98220.51,98391.59,98154.18,98213.43,254.43352
1736038800000,98213.44,98322.35,98050.0,98123.53,237.36247
1736042400000,98123.53,98227.49,98105.41,98227.48,187.53679
1736046000000,98227.49,98227.49,98069.0,98187.96,151.23775
1736049600000,98187.97,98522.76,98187.96,98357.46,238.65677
1736053200000,98357.46,98500.0,98264.78,98358.98,212.64998
1736056800000,98358.98,98500.0,98304.82,98451.47,149.6113
1736060400000,98451.48,98464.84,98268.77,98268.77,118.31169
1736064000000,98268.77,98268.78,97777.77,97861.04,511.7393
1736067600000,97861.04,97943.02,97637.93,97652.2,341.13546
1736071200000,97652.21,97776.68,97600.0,97737.48,331.79062
1736074800000,97737.48,97822.16,97615.13,97641.63,186.71771
1736078400000,97641.62,97956.66,97569.04,97770.01,316.47526
1736082000000,97770.01,98018.96,97680.18,97689.96,281.94319
1736085600000,97689.96,97967.08,97276.79,97855.06,776.65874
1736089200000,97855.06,98281.89,97702.3,98028.98,492.23074
1736092800000,98028.98,98332.54,97937.82,98035.17,454.56381
1736096400000,98035.17,98078.94,97673.57,97731.08,358.65597
1736100000000,97731.09,97927.98,97577.46,97918.91,301.29033
1736103600000,97918.91,98109.0,97854.99,98079.63,306.85684
1736107200000,98079.64,98678.0,98024.0,98275.71,680.46167
1736110800000,98275.71,98522.46,98216.58,98496.52,327.78368
1736114400000,98496.52,98745.45,98344.0,98695.21,407.85275
1736118000000,98695.21,98836.85,98322.72,98363.61,469.68089
1736121600000,98363.61,98773.48,98190.75,98217.23,494.23065
1736125200000,98217.23,98816.28,97920.0,98759.43,567.37864
1736128800000,98759.42,99333.0,98649.97,98815.39,1613.41986
1736132400000,98815.39,99235.99,98759.55,99037.57,522.19415
1736136000000,99037.57,99500.88,99037.57,99466.09,645.5066
1736139600000,99466.09,99892.0,99400.0,99600.0,939.38016
1736143200000,99600.0,99763.99,99382.31,99512.21,803.84933
1736146800000,99512.21,99529.87,99161.14,99318.7,555.89718
1736150400000,99318.7,99625.69,99000.0,99043.49,674.33231
1736154000000,99043.49,99250.0,98942.46,98999.99,447.39111
1736157600000,99000.0,99057.95,98709.28,98767.96,525.86727
1736161200000,98767.96,99410.23,98712.0,99259.99,667.86775
1736164800000,99259.99,99713.13,99142.43,99157.12,624.14409
1736168400000,99157.12,99575.85,98909.82,99492.51,631.22473
1736172000000,99492.5,101295.23,98711.94,100737.03,3487.88537
1736175600000,100737.03,102468.92,100481.99,102147.95,3664.96939
1736179200000,102147.95,102480.0,101719.59,102158.67,2145.59016
1736182800000,102158.67,102158.68,101250.0,101831.95,1517.05213
1736186400000,101831.95,102053.61,101578.12,101738.8,834.3056
1736190000000,101738.81,102032.0,101639.6,101817.22,631.18014
1736193600000,101817.22,102318.5,101800.0,102127.38,1458.54383
1736197200000,102126.9,102329.98,101600.05,101611.92,1010.1979
1736200800000,101611.92,102084.13,101600.06,102011.98,365.15756
1736204400000,102011.98,102239.58,101896.87,102235.6,435.86784
1736208000000,102235.6,102724.38,101950.0,102042.46,980.37078
1736211600000,102042.47,102071.9,101684.95,101915.66,558.30589
1736215200000,101915.66,102018.98,101651.67,101677.66,392.40922
1736218800000,101677.66,101818.19,101512.91,101708.08,426.32949
1736222400000,101708.09,101925.77,101667.01,101667.02,289.09956
1736226000000,101667.02,101786.07,101582.79,101743.47,341.58829
1736229600000,101743.47,101894.47,101648.56,101820.53,336.00222
1736233200000,101820.53,102015.01,101640.47,101664.81,526.07792
1736236800000,101664.81,101995.64,101618.04,101905.08,455.62174
1736240400000,101905.08,101914.11,101632.06,101723.19,490.40273
1736244000000,101723.18,101723.19,101379.45,101406.78,716.36897
1736247600000,101406.78,101453.0,100472.45,100830.86,1572.48188
1736251200000,100830.86,100956.99,100628.43,100750.89,725.09465
1736254800000,100750.88,100960.06,100615.63,100636.8,744.04629
1736258400000,100636.8,100862.91,99732.0,99979.69,2490.75719
1736262000000,99979.69,100142.99,97153.5,97952.26,8692.12932
1736265600000,97952.26,98347.81,97586.41,97733.58,2402.7833
1736269200000,97733.58,97806.03,96577.0,97277.31,2384.90474
1736272800000,97277.32,97541.6,96600.0,96750.86,1551.15869
1736276400000,96750.86,97200.01,96323.67,96451.98,1482.07032
1736280000000,96451.99,96870.52,96181.81,96533.35,1820.47033
1736283600000,96533.34,97094.19,96400.0,96501.22,1161.95008
1736287200000,96501.23,97220.76,96412.0,97164.0,708.70971
1736290800000,97163.99,97169.65,96800.8,96954.61,810.74206
1736294400000,96954.6,97268.65,96707.77,97268.49,817.8225
1736298000000,97268.49,97268.5,96608.14,96907.15,751.04704
1736301600000,96907.16,97181.82,96778.57,96878.14,677.26436
1736305200000,96878.14,96878.14,96216.83,96525.2,1257.71877
1736308800000,96525.2,96634.58,96057.48,96274.81,1105.11271
1736312400000,96274.8,96654.61,96102.94,96492.01,705.86066
1736316000000,96492.01,96636.37,95259.3,95284.31,1870.78889
1736319600000,95284.31,95815.52,95250.76,95657.09,1326.50987
1736323200000,95657.09,96132.47,95528.56,95945.99,917.59892
1736326800000,95946.0,96098.1,95412.0,95432.82,613.22404
1736330400000,95432.83,96000.0,95432.43,95961.02,713.60141
1736334000000,95961.03,96052.0,94543.86,95134.92,1835.63994
1736337600000,95134.92,95376.56,94852.23,94888.01,1048.36101
1736341200000,94888.01,95679.69,94888.0,95384.0,1277.78686
1736344800000,95384.01,95865.71,94888.88,95288.01,2131.52699
1736348400000,95288.0,96079.32,94624.43,95493.77,3066.43677
1736352000000,95493.77,95555.25,94556.21,94787.87,1545.18588
1736355600000,94787.87,94847.99,92500.9,94030.82,5296.00136
1736359200000,94030.81,95106.33,93753.99,94242.61,2090.92444
1736362800000,94242.62,94859.54,94053.82,94243.89,1331.27114
1736366400000,94243.89,94404.0,93755.48,93980.0,1050.42711
1736370000000,93982.01,94596.0,93600.0,94468.97,953.6077
1736373600000,94468.97,95290.99,94460.86,95290.93,743.64746
1736377200000,95290.93,95310.94,94900.0,95060.61,577.31311
1736380800000,95060.61,95150.0,94809.07,95135.3,552.16219
1736384400000,95135.3,95382.32,94966.66,94983.82,596.76178
1736388000000,94983.82,95030.31,93422.89,94776.99,3219.21675
1736391600000,94777.0,94800.69,94017.93,94027.9,1051.54436
1736395200000,94027.91,94487.74,93796.99,94424.24,686.14805
1736398800000,94424.24,94566.64,94280.65,94472.58,347.93364
1736402400000,94472.59,94618.63,94048.07,94095.03,515.64221
1736406000000,94095.04,94299.22,93186.38,93221.59,1274.59624
1736409600000,93221.59,93400.98,92750.0,93030.87,1897.18886
1736413200000,93030.88,93787.75,92970.96,93516.62,1012.10325
1736416800000,93516.63,93660.0,93016.55,93462.43,958.29861
1736420400000,93462.43,93877.46,93224.0,93465.23,706.7959
1736424000000,93465.23,93696.97,93155.25,93421.94,710.38168
1736427600000,93421.94,93486.19,91900.12,91986.42,3474.4356
1736431200000,91986.41,92900.0,91800.0,92863.8,2363.05968
1736434800000,92863.81,94588.23,92671.67,94244.02,2560.47367
1736438400000,94244.02,94685.25,93846.15,94250.95,1597.06769
1736442000000,94250.96,94293.96,92325.0,92693.11,1927.98124
1736445600000,92693.11,93239.51,92403.77,93020.11,1440.41777
1736449200000,93020.1,93291.96,91900.01,91909.59,1659.19728
1736452800000,91909.59,92371.32,91203.67,91903.22,2948.09971
1736456400000,91903.21,92497.66,91781.09,92108.84,1113.80054
1736460000000,92108.84,92720.67,91624.0,92456.32,1126.88174
1736463600000,92456.32,92689.38,92034.55,92552.49,804.64841
1736467200000,92552.49,92850.0,92431.73,92775.84,765.60662
1736470800000,92775.85,93159.16,92590.33,93102.52,646.50474
1736474400000,93102.52,93726.87,93033.5,93364.36,910.05796
1736478000000,93364.36,93727.83,93312.58,93696.13,605.87134
1736481600000,93696.13,93908.85,93500.0,93837.69,539.73949
1736485200000,93837.69,94250.07,93642.85,93956.83,803.65233
1736488800000,93956.83,94319.0,93733.83,94252.83,883.82544
1736492400000,94252.83,95000.0,94070.0,94492.63,1375.06652
1736496000000,94492.62,94766.12,94388.5,94680.01,786.92644
1736499600000,94680.0,95000.55,94582.03,94793.08,750.72307
1736503200000,94793.07,95293.4,94757.57,95215.73,599.33683
1736506800000,95215.73,95267.16,94600.49,95073.95,709.58099
1736510400000,95073.95,95117.26,94702.49,95023.44,585.68189
1736514000000,95023.44,95046.0,92715.85,93557.23,4436.60731
1736517600000,93557.23,94680.76,93379.93,94115.63,3037.5871
1736521200000,94115.62,94524.0,92206.02,93730.92,3948.23271
1736524800000,93730.93,94062.94,93177.4,93645.05,2166.9421
1736528400000,93645.06,95836.0,93318.07,95793.05,2615.68539
1736532000000,95793.04,95793.04,94581.87,94861.62,1989.46965
1736535600000,94861.62,95386.74,94373.85,95327.06,1188.49425
1736539200000,95327.07,95442.15,94586.02,94672.05,1050.742
1736542800000,94669.06,94923.05,94603.72,94613.26,443.76148
1736546400000,94613.26,94955.54,94586.03,94767.7,342.72272
1736550000000,94767.69,94894.81,94657.39,94726.11,300.04587
1736553600000,94726.1,94746.37,94360.65,94600.69,360.16333
1736557200000,94600.7,94696.97,94214.38,94424.26,335.79125
1736560800000,94424.26,94495.9,94180.0,94424.24,304.40657
1736564400000,94424.24,94429.84,94106.49,94206.95,275.47256
1736568000000,94206.96,94316.09,93831.73,94063.29,409.40458
1736571600000,94063.29,94381.08,94013.51,94366.69,235.14105
1736575200000,94366.7,94441.87,94216.25,94216.25,150.60139
1736578800000,94216.26,94333.34,94151.51,94246.36,194.41264
1736582400000,94246.36,94408.34,94031.22,94074.79,226.92498
1736586000000,94074.8,94329.8,94044.82,94329.45,197.65314
1736589600000,94329.46,94528.27,94300.01,94488.86,271.33726
1736593200000,94488.87,94791.67,94455.04,94625.65,313.77601
1736596800000,94625.66,94655.2,94528.01,94550.01,194.65011
1736600400000,94550.0,94606.11,94342.63,94400.01,233.44386
1736604000000,94400.01,94638.44,94307.25,94620.0,278.58075
1736607600000,94620.0,94647.05,94377.57,94410.26,185.10489
1736611200000,94410.26,94708.12,94312.56,94448.14,278.46964
1736614800000,94448.14,94448.14,93984.55,94151.52,422.01065
1736618400000,94151.51,94306.62,94121.0,94275.79,171.50586
1736622000000,94275.79,94327.4,94084.64,94249.26,144.36313
1736625600000,94249.27,94668.31,94200.89,94586.11,282.09991
1736629200000,94586.12,95050.94,94575.75,94940.76,818.05763
